id;anfitrion;distrito;plazas;precio
6369;13660;Chamartín;2;$70.00
21853;83531;Latina;1;$17.00
24805;101471;Centro;3;$80.00
24836;101653;Centro;4;$115.00
26825;114340;Arganzuela;1;$25.00
30320;130907;Centro;2;$65.00
30959;132883;Centro;2;$54.00
40916;130907;Centro;3;$90.00
59923;288380;Centro;1;$40.00
62423;303845;Centro;3;$45.00
70059;353616;Centro;2;$65.00
70310;353738;Centro;4;$70.00
70315;353738;Centro;4;$75.00
70316;353738;Centro;3;$75.00
72150;364585;Centro;9;$110.00
72955;378073;Centro;4;$85.00
74352;391014;Centro;4;$80.00
75609;401552;Centro;3;$63.00
76617;368907;Centro;5;$102.00
82481;448981;Salamanca;2;$60.00
84719;259229;Centro;2;$60.00
86042;364585;Centro;7;$100.00
89954;487095;Centro;6;$110.00
92920;495849;Centro;2;$50.00
93100;499977;Centro;3;$32.00
96072;510570;Tetuán;2;$25.00
100411;527760;Fuencarral - El Pardo;2;$60.00
101507;5795235;Centro;2;$65.00
102040;533936;Ciudad Lineal;1;$20.00
102091;534128;Chamberí;6;$194.00
102194;534515;Centro;4;$95.00
103541;361930;Chamberí;4;$75.00
109369;564773;Fuencarral - El Pardo;1;$40.00
112650;574498;Centro;2;$75.00
114854;361930;Chamberí;4;$75.00
117919;557423;Centro;5;$57.00
119389;378073;Centro;4;$85.00
120293;605612;Centro;2;$35.00
120762;606925;Centro;2;$29.00
123864;605612;Centro;3;$67.00
127819;632589;Centro;8;$200.00
132428;650803;Centro;1;$26.00
136058;666482;Villaverde;1;$21.00
150123;723539;Centro;2;$80.00
153798;739627;Hortaleza;1;$40.00
154224;740087;Centro;4;$69.00
163429;780107;Chamberí;4;$65.00
167183;796746;Hortaleza;2;$45.00
169719;805726;Centro;2;$25.00
170750;814490;Centro;4;$90.00
171144;816497;Centro;3;$150.00
176826;845399;Centro;1;$60.00
176827;845399;Centro;1;$60.00
177500;596469;Centro;2;$80.00
177523;596469;Centro;2;$80.00
177850;850654;Centro;3;$19.00
183309;877571;Centro;8;$90.00
183346;877571;Centro;2;$30.00
183353;877571;Centro;2;$30.00
183435;877571;Centro;8;$89.00
191661;927343;Centro;3;$70.00
196197;852616;Centro;4;$77.00
199016;967721;Centro;2;$25.00
199201;749212;Centro;2;$75.00
200828;75944;Salamanca;8;$140.00
201033;606925;Centro;2;$40.00
204570;1004721;Centro;5;$140.00
205199;1008659;Centro;2;$85.00
207275;124972;Moncloa - Aravaca;1;$50.00
209373;1031664;Centro;1;$30.00
209780;669927;Carabanchel;7;$95.00
211444;1090760;Hortaleza;2;$55.00
214000;927343;Centro;6;$95.00
217674;1732442;Centro;8;$145.00
219303;499977;Centro;3;$29.00
224571;1168897;Centro;4;$75.00
225462;1174648;Centro;2;$30.00
225489;1172225;Chamberí;2;$25.00
229664;1130651;Centro;3;$55.00
231861;1212528;Chamberí;1;$30.00
240128;630482;Carabanchel;2;$25.00
256004;1732442;Centro;12;$80.00
256842;1351231;Latina;5;$98.00
259249;814490;Centro;3;$50.00
260656;1367452;Centro;4;$83.00
260951;1351865;Hortaleza;6;$145.00
261878;1373873;Centro;2;$74.00
261959;1374415;Tetuán;1;$28.00
263748;1351865;Hortaleza;4;$66.00
264054;1370007;Centro;12;$480.00
268275;1406073;Centro;4;$75.00
280733;596469;Centro;4;$90.00
281224;1466005;Centro;4;$72.00
282195;740087;Centro;4;$59.00
282196;740087;Centro;4;$59.00
282715;1473247;Salamanca;4;$169.00
283862;1478367;Centro;6;$85.00
287660;1496188;Centro;1;$30.00
289555;901218;Centro;5;$58.00
290420;805726;Latina;1;$20.00
294520;1522694;Centro;3;$60.00
294529;1522694;Centro;1;$43.00
296191;845399;Centro;2;$60.00
297017;4677030;Centro;4;$110.00
310333;1596220;Centro;6;$80.00
310678;1598163;Centro;4;$68.00
315682;1095831;Centro;7;$155.00
318826;1636378;Latina;4;$90.00
322548;1650712;Centro;4;$116.00
333974;740087;Centro;4;$59.00
334281;1702905;Centro;6;$75.00
336672;1716726;Arganzuela;6;$115.00
336834;1713427;Centro;5;$63.00
336869;1713524;Centro;2;$100.00
337209;1714541;Retiro;3;$24.00
337292;1714866;Chamartín;1;$35.00
339144;1721158;Centro;4;$63.00
339171;1722284;Centro;4;$82.00
339751;1721232;Latina;6;$22.00
341939;1694537;Centro;2;$55.00
342095;1703448;Centro;3;$79.00
342557;1738288;Chamartín;1;$75.00
342670;1738846;Arganzuela;2;$65.00
342952;740087;Centro;4;$59.00
345195;1095831;Centro;3;$81.00
345230;1095831;Centro;2;$70.00
345233;1095831;Centro;2;$70.00
345249;1751133;Tetuán;6;$130.00
347510;1751133;Salamanca;6;$135.00
353713;1791341;Centro;2;$52.00
353746;1791341;Centro;2;$77.00
354838;1496188;Centro;3;$70.00
361053;1729503;Retiro;5;$100.00
363476;1836617;Centro;2;$49.00
370815;1868359;Centro;5;$70.00
374465;1714541;Retiro;3;$22.00
375472;1888816;Arganzuela;2;$24.00
376379;1892467;Centro;2;$50.00
377151;1895571;Salamanca;4;$30.00
378899;1902834;Arganzuela;4;$70.00
396532;1981346;Centro;4;$105.00
397778;1408525;Centro;2;$77.00
399140;1408525;Arganzuela;2;$66.00
400139;1893660;Retiro;2;$24.00
402588;1408525;Centro;4;$82.00
404569;1408525;Centro;3;$88.00
405786;1408525;Centro;6;$85.00
406341;2024487;Salamanca;1;$24.00
406697;1973909;Centro;3;$56.00
410699;2044655;Centro;4;$155.00
413240;2056009;Chamartín;2;$48.00
414763;1408525;Centro;2;$66.00
415967;2068619;Centro;3;$75.00
420039;9934732;Centro;2;$38.00
423655;1719263;Centro;4;$100.00
424008;2107994;Centro;1;$43.00
424816;2111994;Tetuán;1;$40.00
427488;2124765;Chamberí;4;$200.00
429306;2134007;Centro;5;$120.00
429942;1450430;Tetuán;6;$80.00
431806;2146727;Moncloa - Aravaca;2;$35.00
434874;1408525;Centro;3;$90.00
435010;2160658;Centro;2;$25.00
437670;805726;Latina;2;$25.00
439699;2184051;Centro;4;$70.00
440596;1280726;Chamberí;4;$30.00
442986;2201302;Centro;2;$85.00
449218;2230279;Chamberí;2;$48.00
449494;814490;Centro;3;$55.00
456165;617086;Carabanchel;1;$30.00
459303;1408525;Centro;4;$81.00
459362;1408525;Centro;2;$82.00
462072;2296476;Centro;6;$112.00
463246;2302267;Centro;4;$75.00
464307;2307294;Centro;4;$85.00
467552;2320165;Chamberí;3;$90.00
468202;2322563;Centro;3;$59.00
469231;1408525;Centro;2;$75.00
470132;2332600;Centro;4;$83.00
471198;1408525;Centro;4;$81.00
471238;1408525;Centro;4;$82.00
471328;1408525;Centro;2;$82.00
477652;1408525;Centro;4;$83.00
477656;2367126;Centro;2;$50.00
479618;2376101;Centro;5;$85.00
479718;2376402;San Blas - Canillejas;6;$350.00
482122;1408525;Chamberí;4;$88.00
483048;2391244;Hortaleza;2;$60.00
488462;2417075;Chamberí;4;$85.00
489190;2419064;Moncloa - Aravaca;7;$190.00
492221;2433045;Centro;2;$69.00
493238;2436735;Centro;4;$50.00
497706;2456671;Retiro;3;$60.00
499911;2467212;Centro;5;$97.00
500742;2470700;Retiro;6;$110.00
502918;2480913;Centro;1;$45.00
506956;1932547;Ciudad Lineal;4;$52.00
507614;2501740;Centro;4;$84.00
510973;2517520;Centro;1;$60.00
514917;83531;Latina;1;$17.00
515008;2536524;San Blas - Canillejas;2;$25.00
515339;2538187;Centro;4;$63.00
518208;2536524;San Blas - Canillejas;2;$25.00
518511;1150912;Centro;3;$40.00
521162;2561320;Centro;5;$85.00
521329;2563986;Chamartín;1;$30.00
521367;2564339;Centro;4;$67.00
522563;1652272;Centro;5;$75.00
524003;2576044;Centro;2;$65.00
526162;2249249;Retiro;1;$19.00
526513;1134989;Centro;6;$39.00
531677;2613319;Centro;2;$34.00
531854;2569497;Centro;2;$55.00
533450;2619962;Centro;1;$24.00
536310;2634967;Chamberí;4;$40.00
536574;447969;Arganzuela;10;$70.00
537234;2638528;Arganzuela;1;$22.00
540937;2659070;Centro;4;$56.00
541406;2661721;Ciudad Lineal;6;$300.00
544736;1284868;Chamartín;1;$23.00
545174;2680319;Chamberí;4;$40.00
548212;2709614;Moncloa - Aravaca;1;$38.00
548995;2673517;Retiro;4;$90.00
549483;1091014;Centro;3;$99.00
549664;2702003;Villa de Vallecas;1;$50.00
551966;2659765;Centro;4;$65.00
552183;2713304;Centro;2;$30.00
555117;2727360;Salamanca;2;$33.00
557402;2740430;Centro;1;$35.00
558690;2747005;Salamanca;5;$105.00
560941;596469;Salamanca;2;$100.00
565152;2779192;Centro;4;$57.00
566241;2785251;Centro;2;$50.00
568190;2795931;Latina;2;$20.00
570158;2347489;Chamberí;1;$22.00
572048;1689652;Centro;2;$30.00
576487;2312712;Barajas;8;$78.00
578731;2847013;Centro;5;$95.00
578837;2847360;Chamberí;2;$60.00
580687;2857508;Centro;4;$67.00
581691;2864064;Centro;3;$33.00
586726;2566589;Moncloa - Aravaca;5;$85.00
588382;2902269;Centro;6;$190.00
588518;2267893;Centro;2;$165.00
590710;2913511;Usera;2;$30.00
594298;153391;Centro;6;$105.00
595055;2940355;Carabanchel;1;$24.00
597038;2952250;Retiro;4;$155.00
598771;2678039;Arganzuela;3;$85.00
599134;1567773;Centro;1;$30.00
599977;2960080;Centro;2;$37.00
600476;2184051;Centro;6;$75.00
603958;2376101;Centro;4;$85.00
604150;2990747;Salamanca;4;$110.00
604395;2991670;Salamanca;1;$19.00
604632;2993477;Tetuán;2;$29.00
605339;2783896;Latina;1;$19.00
605697;2999728;Arganzuela;2;$25.00
606923;2581715;Moncloa - Aravaca;1;$24.00
607548;3010452;Puente de Vallecas;2;$45.00
608742;3017315;Centro;3;$65.00
610675;2174652;Centro;4;$70.00
616027;3053021;Chamartín;1;$23.00
618406;3062041;Villa de Vallecas;3;$60.00
618576;3017315;Centro;3;$70.00
625566;2773350;Arganzuela;2;$60.00
625700;2634967;Chamberí;1;$50.00
627873;3117754;Chamberí;4;$140.00
628394;3121587;Centro;8;$250.00
631737;3141727;Chamartín;6;$75.00
642863;3214130;Centro;2;$45.00
642902;368907;Chamberí;7;$197.00
643471;3290138;Centro;2;$20.00
644592;2991670;Salamanca;3;$16.00
644603;2991670;Salamanca;2;$22.00
644656;3226403;Ciudad Lineal;1;$25.00
645934;3235676;Centro;2;$70.00
647207;3244793;Arganzuela;2;$39.00
647376;1091014;Centro;4;$125.00
647891;3249358;Chamberí;2;$40.00
655514;3226403;Ciudad Lineal;2;$30.00
656520;1375487;Centro;2;$65.00
659887;3329487;Retiro;2;$29.00
661688;845399;Centro;1;$30.00
663761;3352121;Villa de Vallecas;2;$22.00
668753;3385307;Chamberí;1;$45.00
675713;3432379;Centro;3;$80.00
676566;3317937;Retiro;4;$75.00
678732;2417075;Chamberí;8;$149.00
680784;3466426;Centro;2;$45.00
681336;3469687;Moncloa - Aravaca;4;$80.00
683208;9228673;Salamanca;6;$210.00
683401;3483233;Puente de Vallecas;1;$25.00
683969;3487329;Carabanchel;2;$20.00
684564;1941314;Centro;3;$108.00
685152;3494012;Hortaleza;12;$155.00
686041;3508577;Hortaleza;2;$40.00
688795;1732442;Centro;10;$75.00
689099;3357259;Ciudad Lineal;1;$40.00
691344;655088;Arganzuela;1;$23.00
691458;655088;Arganzuela;2;$37.00
692358;3540348;Villaverde;8;$98.00
692855;3544353;Centro;4;$75.00
694867;3540348;Villaverde;5;$75.00
695909;3021792;Centro;6;$80.00
696928;3569462;Salamanca;3;$60.00
697858;3571619;Tetuán;2;$35.00
700756;3534151;Retiro;6;$65.00
704155;3606346;Centro;4;$73.00
706835;3483233;Puente de Vallecas;1;$25.00
707232;3477002;Chamberí;2;$60.00
707670;3540591;Centro;3;$70.00
708275;2785251;Chamartín;2;$50.00
709208;3648882;Centro;4;$69.00
710156;3654886;Barajas;2;$29.00
710870;3654108;Chamberí;3;$23.00
714983;2747005;Moratalaz;7;$125.00
715965;3689490;Centro;4;$99.00
716232;2747005;Ciudad Lineal;5;$85.00
716292;3691303;Centro;6;$72.00
717313;3698406;Centro;2;$100.00
721057;1954334;Centro;4;$55.00
721377;3724500;Fuencarral - El Pardo;2;$50.00
722199;3726310;Puente de Vallecas;2;$22.00
723088;2555202;Centro;6;$75.00
724700;3746437;Centro;4;$60.00
726408;3759135;Ciudad Lineal;2;$130.00
726951;2172169;Centro;3;$60.00
727588;498646;Puente de Vallecas;4;$43.00
728978;1566057;Centro;5;$80.00
730347;3797913;Centro;6;$140.00
730502;3797913;Centro;6;$140.00
730568;3797913;Centro;6;$150.00
733312;3730591;Chamberí;2;$50.00
733365;3821608;Chamberí;1;$35.00
734053;3825783;Retiro;1;$50.00
738837;3771869;Centro;3;$48.00
740200;2952250;Salamanca;4;$194.00
743650;2236658;Centro;2;$25.00
745609;1735664;Centro;5;$110.00
745664;3591751;Arganzuela;2;$35.00
745728;3797913;Centro;12;$250.00
746742;1719263;Centro;4;$100.00
747873;1625657;Centro;4;$85.00
748854;1888816;Arganzuela;1;$24.00
750257;130907;Centro;2;$75.00
751527;3951702;Centro;9;$205.00
751530;3898452;Centro;4;$59.00
752424;216570;Centro;5;$110.00
752515;3438657;Centro;2;$50.00
752883;3960415;Latina;1;$45.00
754678;3961468;Centro;8;$135.00
755535;2536524;San Blas - Canillejas;2;$42.00
755587;3898452;Centro;4;$59.00
756143;1650712;Centro;3;$104.00
756257;596469;Centro;3;$100.00
756707;3983613;Centro;4;$110.00
758670;2536524;San Blas - Canillejas;2;$27.00
758823;3998859;Salamanca;4;$100.00
759575;690223;Centro;5;$104.00
760482;4008643;Tetuán;8;$145.00
761015;2670977;Centro;4;$70.00
761159;4012290;Centro;4;$59.00
762701;378073;Centro;4;$85.00
763214;4032439;Centro;4;$65.00
766160;4036376;Centro;2;$58.00
768311;4053105;Centro;2;$61.00
769210;2695144;Hortaleza;1;$28.00
771364;4069734;Centro;2;$48.00
772646;3606346;Centro;4;$73.00
773608;2991925;Centro;2;$35.00
773861;1732442;Centro;12;$75.00
773990;4083688;Centro;2;$49.00
774008;4083766;Ciudad Lineal;2;$34.00
774356;3214130;Centro;2;$50.00
779960;4112877;Centro;2;$95.00
780397;4068975;Arganzuela;8;$145.00
781012;4118311;Centro;1;$35.00
781604;4103866;Tetuán;2;$40.00
781665;4103866;Tetuán;1;$30.00
782797;4128029;Centro;3;$40.00
783647;4132185;Ciudad Lineal;1;$24.00
783752;2991925;Centro;2;$33.00
785506;378073;Retiro;4;$85.00
789681;4161237;Centro;6;$80.00
793618;4180632;Centro;8;$220.00
793622;4181071;Centro;2;$65.00
797030;4198169;San Blas - Canillejas;3;$45.00
798091;4203067;Centro;2;$80.00
804681;4235741;Barajas;2;$28.00
809554;630482;Carabanchel;2;$20.00
814586;4277536;Centro;4;$87.00
814647;4159117;San Blas - Canillejas;2;$30.00
814870;4281126;Retiro;1;$20.00
815818;4286142;Centro;2;$85.00
817184;4292037;Centro;4;$50.00
817848;4295642;Centro;2;$65.00
819738;4305310;Centro;5;$95.00
820642;1341870;Centro;4;$129.00
821556;4211443;Centro;2;$65.00
821860;4280501;Centro;2;$59.00
823321;4305310;Centro;4;$75.00
828095;2333408;San Blas - Canillejas;1;$12.00
831616;4354906;Centro;4;$65.00
832102;4356259;Chamberí;3;$65.00
833871;4292037;Centro;4;$55.00
834562;4365768;Barajas;10;$110.00
834675;4190662;Puente de Vallecas;2;$25.00
835333;153391;Centro;2;$67.00
837183;4310374;Moncloa - Aravaca;4;$125.00
838698;4281126;Retiro;2;$25.00
838712;4281126;Retiro;1;$20.00
840479;4084426;Centro;3;$130.00
840517;4084426;Centro;3;$90.00
840561;4279976;Moncloa - Aravaca;2;$96.00
840844;3298293;Salamanca;4;$200.00
843700;4211443;Centro;2;$65.00
843729;4211443;Centro;6;$115.00
844856;4410687;Centro;4;$62.00
846558;2489796;Centro;2;$40.00
847252;4424170;Ciudad Lineal;3;$49.00
847273;4424222;Moratalaz;8;$140.00
847724;1331093;Centro;2;$60.00
848480;153391;Centro;8;$155.00
849939;4433597;Centro;2;$30.00
851311;4424070;Centro;2;$65.00
852607;3726732;Centro;3;$59.00
852623;3726732;Centro;4;$107.00
852636;3726732;Centro;2;$57.00
852654;3726732;Centro;2;$67.00
852660;3726732;Centro;4;$68.00
853804;4247556;Centro;2;$95.00
856669;584351;Centro;3;$70.00
859800;4502639;San Blas - Canillejas;2;$48.00
861590;1714750;Centro;4;$140.00
862462;2456671;Centro;4;$60.00
862752;4522970;Arganzuela;1;$40.00
864488;3631892;Centro;3;$49.00
865387;2668849;Centro;2;$31.00
867629;2419618;Centro;2;$40.00
868776;4312150;Centro;4;$55.00
869276;596469;Centro;2;$80.00
869674;4582755;Centro;4;$70.00
870964;1221103;Chamberí;2;$64.00
871387;4504807;Centro;3;$100.00
874029;4603165;San Blas - Canillejas;2;$30.00
876358;4628173;Chamartín;4;$70.00
876372;805726;Centro;2;$25.00
881466;3917443;Arganzuela;4;$75.00
882885;2646146;Salamanca;1;$28.00
882910;2646146;Salamanca;2;$32.00
883037;4674072;Arganzuela;1;$24.00
883469;4677030;Salamanca;6;$140.00
883527;4677458;Salamanca;3;$42.00
884856;4684397;Centro;2;$40.00
886019;4697070;Chamberí;5;$105.00
886850;2646146;Salamanca;2;$38.00
886932;2646146;Salamanca;3;$50.00
887754;2991670;Salamanca;2;$19.00
887816;2991670;Salamanca;1;$19.00
888289;4710774;Centro;2;$90.00
890347;4665174;Centro;2;$69.00
891289;4735460;Salamanca;2;$61.00
891946;4739098;Centro;2;$80.00
892100;4740276;Carabanchel;2;$60.00
892774;1467260;Latina;3;$39.00
892931;4735460;Salamanca;4;$75.00
893025;4735460;Salamanca;4;$61.00
893056;4735460;Centro;3;$200.00
893142;4735460;Centro;3;$221.00
893177;4735460;Salamanca;4;$75.00
893195;4735460;Salamanca;2;$61.00
894495;4762305;Centro;2;$72.00
896209;4777959;Chamartín;2;$55.00
896291;4778528;Arganzuela;2;$19.00
901545;266650;Retiro;4;$120.00
901897;1331093;Centro;4;$120.00
902046;4819459;Barajas;1;$30.00
902946;4826927;Centro;2;$50.00
903707;4831338;Centro;4;$49.00
904741;4839888;Centro;4;$135.00
904769;4839888;Centro;4;$89.00
904775;4839888;Centro;6;$132.00
907386;4860266;Centro;2;$90.00
913536;4903694;Centro;2;$35.00
914057;4905854;Puente de Vallecas;2;$20.00
922397;4651429;Salamanca;4;$60.00
923140;1574604;Centro;4;$130.00
923645;4967875;Retiro;5;$94.00
924771;4974280;Arganzuela;4;$80.00
924876;1714750;Centro;5;$120.00
925250;4975799;Centro;2;$45.00
925339;4977367;Centro;5;$68.00
926653;2864064;Centro;4;$66.00
933326;5031865;Arganzuela;5;$120.00
936157;5052379;Centro;4;$150.00
938410;9228673;Salamanca;4;$220.00
940649;5084073;Arganzuela;4;$73.00
944555;5114074;Centro;3;$72.00
945003;850654;Centro;8;$37.00
945323;1738341;Centro;8;$105.00
947169;5132742;Centro;2;$48.00
948141;4722486;Centro;4;$95.00
948963;2783896;Latina;2;$26.00
956245;1425071;Chamberí;5;$82.00
956431;5198285;Latina;4;$70.00
